Id_cosecha;Superf;TT_est; Neto_KG; Toneladas_recibidas; Average of HUMEDAD; Average of PROTEINA;Max of VITASCOPIO; Average of PRIMERA+SEGUNDA; Average of CUARTA;Max of PUREZA_VARIETAL;Max of FALLING_NUMBER;Max of DON; Average of CUERPOS EXT+QUEBRADO+DAÑADO ;Count of Fertil;Cosecha;Fecha_siembra;Variedad;Departamento;Weath_ref; Precip.Acumulada_(mm); Heliofanía_Relativa_(%); Rad.Solar_(xHelio)cal/cma²; Humedad_Rel.
7849;150;525;386.200;386;10,0385;9,6385;100;84,8231;2,6231;100;349;241;1,2615;1;2022;24/5/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7850;21;74;94.370;94;10,6;10,1333;100;87,2;2,1;100;275;1;0,7;1;2022;10/6/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7851;62;186;271.570;272;12,6;12,45;100;97,27;0,14;99;330;299;1,86;1;2022;24/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7852;21;74;89.320;89;11,125;11,025;100;84,875;1,725;100;337;100;0,925;1;2022;18/6/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7853;82;287;173.950;445;10,4143;10,3714;-1;93,9571;0,4429;100;299;88;1,5714;1;2022;13/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7854;33;99;88.980;89;12;10,8667;99;93,2;0,3667;100;322;0;3,1333;1;2022;24/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7855;20;44; -   ; -   ;11,7;13,8;-1;90,4;0,4;97;-1;-1;5,1;1;2022;10/6/2022;OSIRIS;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7856;97;291;29.200;305;12,9;12,8;96;94,4;0,4;92;304;1,8;3,2;1;2022;20/6/2022;ARRAYAN;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7857;47;141;155.070;155;12,16;11,44;-1;88,1;1,12;100;-1;-1;3,12;1;2022;12/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7858;82;287;374.510;375;12,3769;11,5077;99;77,8615;3,7692;100;299;96,5;1,2615;1;2022;10/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7859;70;210;279.520;280;11,4;11,3556;98;87,7444;1,3556;100;251;10,7;2,0111;1;2022;9/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7860;170;561;652.910;653;12,868;10,96;99;96,536;0,288;100;269;42;1,636;1;2022;6/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7861;60;180;19.260;19;15,6;12,9;-1;94,2;0,1;74;-1;-1;4,5;1;2022;1/7/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7863;27;86;95.500;96;11,5667;11,3333;99;95,8667;0,3667;100;313;182;1,5333;1;2022;11/6/2022;ARRAYAN;FLORIDA;Canelones;298,3;63,47877551;360,6836735;0,008163265
7864;43;142;75.620;76;10,05;8,8833;-1;96,6833;0,2667;100;-1;-1;1,7333;1;2022;6/6/2022;ARRAYAN;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7865;17;60;70.670;71;11,4667;9,8;98;94,5;0,2667;100;248;20,9;2,4333;1;2022;21/5/2022;DANIELLE;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7866;124;397;505.850;506;9,9389;9,65;99;93,4667;0,4389;100;279;122,5;2,1389;1;2022;5/6/2022;DANIELLE;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7867;29;93;56.600;57;11,3;9,6;-1;95,75;0,35;99;-1;-1;0,95;1;2022;8/6/2022;ARRAYAN;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
7868;70;224;277.250;277;10,4077;9,1692;99;96,5462;0,2462;100;257;100;1,6077;1;2022;12/6/2022;ARRAYAN;PAYSANDU;Salto;581,2;57,93632653;373,6183673;0,795918367
7869;137;301;223.156;194;10,7455;12,6;97;95,7727;0,2091;100;261;0;3,1455;1;2022;18/6/2022;ABYDOS;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7870;12;40;104.530;45;13,05;12,475;100;97,275;0,1;99;322;163;1,975;1;2022;12/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7872;60;180;554.860;534;10,8944;11,15;98;88,6556;1,3556;100;379;49;1,7389;1;2022;11/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7873;55;182; -   ; -   ;12,85;11,8;-1;61,1;6,65;96;-1;-1;1,8;1;2022;4/5/2022;DANIELLE;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7874;87;305;464.820;465;10,5375;11,3875;100;87,4313;1,2813;100;319;106;0,975;1;2022;23/5/2022;ARRAYAN;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7875;50;0; -   ; -   ;15,6667;14,1;99;87,7;0,1667;96;284;17,6;9,5333;1;2022;22/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7876;150;330;351.520;352;9,6583;11,7333;98;96,0833;0,1583;100;284;4;2,375;1;2022;11/6/2022;OSIRIS;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7881;25;83;162.170;133;11,3;11,6;98;90,5167;0,9;100;298;10;2,5167;1;2022;6/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7882;18;45;76.540;77;10,6;11,0667;99;83,9333;1,7667;100;369;41;2,9667;1;2022;13/6/2022;DANIELLE;SORIANO;Colonia;346,3;65,16163265;394,1195918;0,020408163
7883;132;462;736.300;671;10,78;10,6;98;97,108;0,28;100;256;44;1,1;1;2022;24/5/2022;OSIRIS;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7885;70;245;441.900;442;9,5933;9,88;100;88,1467;1,52;100;380;28,7;1,3333;1;2022;21/5/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7886;30;105;31.330;31;10,3;10,1;-1;86,8;3,3;99;-1;-1;0,7;1;2022;9/5/2022;NAHARA;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7887;98;323;592.320;592;12,4789;11,5684;100;96,6895;0,2789;100;312;175;1,5316;1;2022;1/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7888;60;198;277.190;248;11,4;11,55;99;98,28;0,23;100;265;43;0,79;1;2022;22/6/2022;ABYDOS;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7889;156;468;573.400;573;12,4526;11,4737;100;96,3579;0,1474;100;338;176;2,7737;1;2022;17/6/2022;ARRAYAN;FLORES;Colonia;346,3;65,16163265;394,1195918;0,020408163
7890;80;264;353.730;354;11,1667;10,475;100;95,925;0,1833;100;290;51,4;1,9833;1;2022;6/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7891;32;106;143.640;144;11,2286;12,9143;100;89,8286;1,4143;99;325;14,8;2,7429;1;2022;10/6/2022;ARRAYAN;SAN_JOSE;Colonia;346,3;65,16163265;394,1195918;0,020408163
7892;145;479;530.740;531;10,8722;11,5778;98;87,1444;1,5889;100;537;10;2,7056;1;2022;13/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7894;54;162;200.990;201;11,9857;10,8571;100;90,4714;0,8714;100;311;64;3,9571;1;2022;11/6/2022;DANIELLE;COLONIA;Colonia;346,3;65,16163265;394,1195918;0,020408163
7895;206;618;958.380;862;11,6357;11,2429;100;95,45;0,6786;100;349;148;1,3679;1;2022;11/6/2022;ARRAYAN;RIO_NEGRO;Tacuarembo;722,6;57,64122449;376,4653061;0,163265306
